quizzes,solutions
080032001703080002500007030050001970600709008047200050020600009800090305300820010,489532761713486592562917834258341976631759248947268153125673489876194325394825617
000009007060000800789062350430600590090508020018004073043210786005000040100400000,351849267264753819789162354432671598697538421518924673943215786875396142126487935
900401007047508000010700408002100003309000206400003700706009050000305690200604001,928461537647538129513792468872156943359847216461923785736219854184375692295684371
100000203078026401340107000050002806080000010601700020000801042804530160506000009,165498273978326451342157698457912836289643715631785924793861542824539167516274389
600200400015000020024100003102090305030501060507040208200009630050000870009008002,673285491815934726924176583162897345438521967597643218281759634356412879749368152
021400080400150000605038400503607200000090000008504906006710509000043007040005120,321479685489156372675238491593687214264391758718524936836712549152943867947865123
500901008008000500060040090600104007009000800700209003090010070007000600300708005,574961238918327546263845791682134957439576812751289463895612374127453689346798125
400006080003040500000300000809401300100000007005709102000004000006030200030800001,452916783683247519791358624879421356124563897365789142218674935946135278537892461
000050340003400009000700012900060005040000090700030004150007000200001800074020000,617259348823416579495783612932164785546872193781935264158397426269541837374628951
000080100050039080109700300060000200720000016005000030002003804070910020003050000,237485169456139782189726345361547298724398516895261437912673854578914623643852971
007008000030901620060000008140307060000090000070605091500000040013804050000500200,927468135835971624461253978149387562356192487278645391592716843613824759784539216
010305600000200091070000200400010000007080300000060005001000030860007000003106080,912345678346278591578691243435712869627589314189463725751824936864937152293156487
200100004000800500070050900690205000000070000000604015006080030004003000900002008,259137684461829573378456921693215847145378296782694315526781439814963752937542168
471002008208001000000000002090018000004000500000320090700000000000600907300200465,471932658268451379935876142693518724824769531157324896746195283582643917319287465
210500000570942000008000000400000280000605000063000001000000100000214097000006053,214538769576942318938167425459371286721685934863429571697853142385214697142796853
004029000000006703000000050100700036900000008380004002050000000603200000000310200,734529681519846723862173459145782936927631548386954172251468397673295814498317265
000050310400130600000008004065000003080000050300000970700800000006071009048060000,879654312452139687613728594965487123187392456324516978791843265536271849248965731
000040003400008020030900500509000006004090700700000409003001060010500002600070000,195247683476358921238916574589734216364192758721685439953421867817569342642873195
000300029008050006013000080800070000060090050000060001030000290900010600570002000,657348129298157436413629587849571362361294758725863941134786295982415673576932814
000309800400010020560008001830000100000000000002000086600700039070050002001203000,217369845489517623563428971835672194196834257742195386624781539378956412951243768
000609000209000000700010380000800041028090650670001000093020006000000405000905000,381649572259783164746512389935876241128394657674251938593428716862137495417965823
080400300000009004053700090800000045001000900320000008070004610900300000002008070,789415326216839754453726891897163245641582937325947168578294613964371582132658479
000004380800000002000895700000080073007000500410050000009513000300000007085600000,971264385854731692263895741592186473637429518418357269749513826326948157185672934
060000050307000800800200007106008000004375100000400903600002009003000702090000030,469783251327651894815294367136928475984375126752416983678132549543869712291547638
050400000070350014001890200018000000005186900000000580002075100560013090000008020,253461879879352614641897253718539462425186937936724581382975146564213798197648325
090600000012080000087951000860190000030020080000038091000317560000060270000005010,593672148612483957487951326865194732139726485724538691248317569351869274976245813
900006007006014000010900460060350002029000750800029040038007020000840300600100009,943586217786214935215973468467351892329468751851729643538697124192845376674132589
000008015103000800509010004020509000300000009000601050400020508002000107930700000,247368915163954872589217364624539781315872649798641253476123598852496137931785426
000910003803075200020000900070400102050000040204007030005000060006730501400068000,547912683893675214621843975379486152158329746264157839735291468986734521412568397
397050000000001300006030905000006052060507030950300000705040600008200000000070423,397654281542981376186732945873496152264517839951328764725143698438269517619875423
138000000925060008070030000400000275060003040702009000300086004006374000047001063,138942657925167438674835192493618275561723849782459316319586724256374981847291563
376900001405070200980106040030005100250704000740608052003427006000000005020060790,376942581415873269982156347638295174259714638741638952593427816167389425824561793
000901040004027608769540002200000007300406010000209053050000374000184026642035900,823961745514327698769548132291853467385476219476219853158692374937184526642735981
000096023020008006060300001002031749007620000803007012030005000478010205015060380,781596423324178956569342871652831749147629538893457612236785194478913265915264387
400690002070050000025048070610003000348000210000004800000700420500021000000000009,431697582876152349925348671612873945348569217759214863193785426564921738287436159
670000029001009030093270600900400100005000200348510006000001002000000960509306001,674183529251649837893275614926437185715968243348512796467891352132754968589326471
760004000004783000900105020000010500471090632008006109507000046100600053800452791,765924318214783965983165427629317584471598632358246179597831246142679853836452791
210500904640000500305400602961002040580140209430798005053200000090680007020900800,218563974649827513375419682961352748587146239432798165853271496194685327726934851
070005000006008000024000390040837569590060072680520001012903050008150000035070210,379245186156398724824716395241837569593461872687529431412983657768152943935674218
003600907000100206070800030210006000004590000309000050891000704007000100000900300,123654987958173246476829531215436879784592613369781452891365724637248195542917368
006090080009807025800300691004038000000600200605100809701043008400506000062000004,256491387319867425847325691124938756978654213635172849791243568483516972562789134
300150002006048301089203005003070514010400000000300600400600003070500020000080406,347159862256748391189263745963872514815496237724315689498627153671534928532981476
009261000050783096306940080030000001460000700000607008200400005605010000784520019,849261537152783496376945182937854621468192753521637948213479865695318274784526319
406239017591008320732000900009300602000085100107000800000703290900006030075102408,486239517591478326732561984859317642243685179167924853618743295924856731375192468
010208060002010087090000010001082036000371000400090000000920003208100095000056001,517248369632519487894763512751482936986371254423695178165927843278134695349856721
200100500307600102096002748460007950500200064981060020020403000705000403000005009,248179536357648192196352748462837951573291864981564327829413675715926483634785219
401906372036004109005000800690200004140805000050040260700018600000590021004030000,481956372236784159975321846698273514142865793357149268729418635863597421514632987
000001084100650030306870021200080000054016003900203000010030005030090042000000000,597321684182654937346879521273985416854716293961243758719432865638597142425168379 
013007062705320980000060000080236040000074000024050600000700250200980006038000000,813497562765321984492568317987236145356174829124859673649713258271985436538642791
000009010000080040500704809320017600041500793807003420000102080000000100008306000,784659312963281547512734869329417658641528793857963421435172986276895134198346275
069580000025000009000603000900058270032701400057004000500076020786039010004805367,169582743325147689478693152941358276832761495657924831513476928786239514294815367
300890560000030009908612040200084605001750000640021078402100900509270030013000200,324897561176435829958612743297384615831756492645921378482163957569278134713549286
000000100800200305500000040000837002002049607040012080008300051005920700037005020,293456178874291365561783249156837492382549617749612583628374951415928736937165824
900010670000003500501607003374062050010000000600350700423000005009530007750208019,932815674867423591541697283374962158215784936698351742423179865189536427756248319
003000100050000304907000020602807953509300010708501000105004682090780400300162005,423658179851279364967413528612847953549326817738591246175934682296785431384162795
030406000506010030200700006907002003123069400060073925680301000304000080015000369,839426751576918234241735896957842613123569478468173925682391547394657182715284369
108057960000803012037000450209000301040000620070020000004900086380010009095040037,128457963456893712937162458269584371841379625573621894714935286382716549695248137
200000680001300250650008007560009820009030076300080000400000700006000010015203000,293751684871346259654928137567419823189532476342687591438195762926874315715263948
070008003000002008805009000390504086000803704000120300008030060001900802900200030,179658243643712598825349617392574186516893724784126359258437961431965872967281435
107080020040600010000010004090004263400763800000000701083042006210070030000000502,137489625849625317562317984798154263421763859356298741983542176215976438674831592
